Sexo,Imedad,Year of AÑO,Cuenta
Hombre,3.20 a 24,2005,91291
Hombre,4.25 a 29,2005,93716
Hombre,5.30 a 34,2005,72686
Hombre,6.35 a 39,2005,37706
Hombre,2.15 a 19,2005,53743
Hombre,7.40 a 44,2005,10876
Hombre,1.Menor de 15,2005,1368
Hombre,8.De 45 y más,2005,767
Mujer,4.25 a 29,2005,88963
Mujer,3.20 a 24,2005,86439
Mujer,5.30 a 34,2005,68929
Mujer,6.35 a 39,2005,35444
Mujer,2.15 a 19,2005,50633
Mujer,7.40 a 44,2005,10490
Mujer,1.Menor de 15,2005,1329
Mujer,8.De 45 y más,2005,806
Hombre,3.20 a 24,2006,90424
Hombre,4.25 a 29,2006,91634
Hombre,5.30 a 34,2006,71788
Hombre,6.35 a 39,2006,37715
Hombre,2.15 a 19,2006,53608
Hombre,7.40 a 44,2006,10286
Hombre,1.Menor de 15,2006,1380
Hombre,8.De 45 y más,2006,775
Mujer,4.25 a 29,2006,85157
Mujer,3.20 a 24,2006,83790
Mujer,5.30 a 34,2006,67088
Mujer,6.35 a 39,2006,35412
Mujer,2.15 a 19,2006,50214
Mujer,7.40 a 44,2006,9557
Mujer,1.Menor de 15,2006,1385
Mujer,8.De 45 y más,2006,711
Hombre,3.20 a 24,2007,90786
Hombre,4.25 a 29,2007,90978
Hombre,5.30 a 34,2007,72160
Hombre,6.35 a 39,2007,38110
Hombre,2.15 a 19,2007,55660
Hombre,7.40 a 44,2007,10228
Hombre,1.Menor de 15,2007,1523
Hombre,8.De 45 y más,2007,756
Mujer,4.25 a 29,2007,84539
Mujer,3.20 a 24,2007,83785
Mujer,5.30 a 34,2007,67143
Mujer,6.35 a 39,2007,35372
Mujer,2.15 a 19,2007,50988
Mujer,7.40 a 44,2007,9633
Mujer,1.Menor de 15,2007,1317
Mujer,8.De 45 y más,2007,740
Hombre,3.20 a 24,2008,94444
Hombre,4.25 a 29,2008,94942
Hombre,5.30 a 34,2008,78835
Hombre,6.35 a 39,2008,41131
Hombre,2.15 a 19,2008,57918
Hombre,7.40 a 44,2008,10605
Hombre,1.Menor de 15,2008,1546
Hombre,8.De 45 y más,2008,863
Mujer,4.25 a 29,2008,89942
Mujer,3.20 a 24,2008,88742
Mujer,5.30 a 34,2008,74896
Mujer,6.35 a 39,2008,39082
Mujer,2.15 a 19,2008,54066
Mujer,7.40 a 44,2008,10209
Mujer,1.Menor de 15,2008,1391
Mujer,8.De 45 y más,2008,767
Hombre,3.20 a 24,2009,94284
Hombre,4.25 a 29,2009,91735
Hombre,5.30 a 34,2009,79393
Hombre,6.35 a 39,2009,41893
Hombre,2.15 a 19,2009,58215
Hombre,7.40 a 44,2009,10566
Hombre,1.Menor de 15,2009,1712
Hombre,8.De 45 y más,2009,780
Mujer,4.25 a 29,2009,87070
Mujer,3.20 a 24,2009,88284
Mujer,5.30 a 34,2009,75980
Mujer,6.35 a 39,2009,39437
Mujer,2.15 a 19,2009,55186
Mujer,7.40 a 44,2009,10254
Mujer,1.Menor de 15,2009,1633
Mujer,8.De 45 y más,2009,764
Hombre,3.20 a 24,2010,94947
Hombre,4.25 a 29,2010,89784
Hombre,5.30 a 34,2010,83060
Hombre,6.35 a 39,2010,43387
Hombre,2.15 a 19,2010,58895
Hombre,7.40 a 44,2010,10959
Hombre,1.Menor de 15,2010,1658
Hombre,8.De 45 y más,2010,804
Mujer,4.25 a 29,2010,84875
Mujer,3.20 a 24,2010,89321
Mujer,5.30 a 34,2010,77377
Mujer,6.35 a 39,2010,41216
Mujer,2.15 a 19,2010,55523
Mujer,7.40 a 44,2010,10392
Mujer,1.Menor de 15,2010,1458
Mujer,8.De 45 y más,2010,811
Hombre,3.20 a 24,2011,95869
Hombre,4.25 a 29,2011,89374
Hombre,5.30 a 34,2011,83171
Hombre,6.35 a 39,2011,44919
Hombre,2.15 a 19,2011,59829
Hombre,7.40 a 44,2011,11582
Hombre,1.Menor de 15,2011,1591
Hombre,8.De 45 y más,2011,846
Mujer,4.25 a 29,2011,83558
Mujer,3.20 a 24,2011,90057
Mujer,5.30 a 34,2011,78072
Mujer,6.35 a 39,2011,42201
Mujer,2.15 a 19,2011,55978
Mujer,7.40 a 44,2011,11071
Mujer,1.Menor de 15,2011,1565
Mujer,8.De 45 y más,2011,818
Hombre,3.20 a 24,2012,93661
Hombre,4.25 a 29,2012,85499
Hombre,5.30 a 34,2012,80385
Hombre,6.35 a 39,2012,44724
Hombre,2.15 a 19,2012,57777
Hombre,7.40 a 44,2012,11690
Hombre,1.Menor de 15,2012,1554
Hombre,8.De 45 y más,2012,747
Mujer,4.25 a 29,2012,79586
Mujer,3.20 a 24,2012,87500
Mujer,5.30 a 34,2012,75882
Mujer,6.35 a 39,2012,42109
Mujer,2.15 a 19,2012,53480
Mujer,7.40 a 44,2012,10934
Mujer,1.Menor de 15,2012,1466
Mujer,8.De 45 y más,2012,743
Hombre,3.20 a 24,2013,95397
Hombre,4.25 a 29,2013,87927
Hombre,5.30 a 34,2013,81345
Hombre,6.35 a 39,2013,46399
Hombre,2.15 a 19,2013,58955
Hombre,7.40 a 44,2013,11934
Hombre,1.Menor de 15,2013,1670
Hombre,8.De 45 y más,2013,750
Mujer,4.25 a 29,2013,82684
Mujer,3.20 a 24,2013,90171
Mujer,5.30 a 34,2013,76629
Mujer,6.35 a 39,2013,44664
Mujer,2.15 a 19,2013,55144
Mujer,7.40 a 44,2013,11185
Mujer,1.Menor de 15,2013,1588
Mujer,8.De 45 y más,2013,769
Hombre,3.20 a 24,2014,99164
Hombre,4.25 a 29,2014,90569
Hombre,5.30 a 34,2014,82345
Hombre,6.35 a 39,2014,49245
Hombre,2.15 a 19,2014,59128
Hombre,7.40 a 44,2014,12530
Hombre,1.Menor de 15,2014,1515
Hombre,8.De 45 y más,2014,838
Mujer,4.25 a 29,2014,86586
Mujer,3.20 a 24,2014,93205
Mujer,5.30 a 34,2014,77633
Mujer,6.35 a 39,2014,46252
Mujer,2.15 a 19,2014,54795
Mujer,7.40 a 44,2014,11772
Mujer,1.Menor de 15,2014,1492
Mujer,8.De 45 y más,2014,786
Hombre,3.20 a 24,2015,97675
Hombre,4.25 a 29,2015,90031
Hombre,5.30 a 34,2015,79392
Hombre,6.35 a 39,2015,50458
Hombre,2.15 a 19,2015,56125
Hombre,7.40 a 44,2015,13007
Hombre,1.Menor de 15,2015,1407
Hombre,8.De 45 y más,2015,883
Mujer,4.25 a 29,2015,85296
Mujer,3.20 a 24,2015,91827
Mujer,5.30 a 34,2015,75663
Mujer,6.35 a 39,2015,48153
Mujer,2.15 a 19,2015,52769
Mujer,7.40 a 44,2015,12337
Mujer,1.Menor de 15,2015,1380
Mujer,8.De 45 y más,2015,871
Hombre,3.20 a 24,2016,91783
Hombre,4.25 a 29,2016,87901
Hombre,5.30 a 34,2016,76686
Hombre,6.35 a 39,2016,49621
Hombre,2.15 a 19,2016,50190
Hombre,7.40 a 44,2016,12985
Hombre,1.Menor de 15,2016,1255
Hombre,8.De 45 y más,2016,992
Mujer,4.25 a 29,2016,82408
Mujer,3.20 a 24,2016,86229
Mujer,5.30 a 34,2016,72750
Mujer,6.35 a 39,2016,47299
Mujer,2.15 a 19,2016,46696
Mujer,7.40 a 44,2016,12318
Mujer,1.Menor de 15,2016,1161
Mujer,8.De 45 y más,2016,910
Hombre,3.20 a 24,2017,85996
Hombre,4.25 a 29,2017,84302
Hombre,5.30 a 34,2017,72403
